project_url,title,title_length,description,category,author,region,goal_rub,pledged_rub,funding_percentage,is_successful,campaign_duration_days,launch_date,end_date,participants_count,tiers_count,min_tier_price_rub,max_tier_price_rub,has_video,updates_count,comments_count,faq_count,created_projects,backed_projects,social_links_count,risks_text,risk_words_count,has_superlatives,error,source,catalog_category_filter
https://planeta.ru/campaigns/rodoteka,Rodoteka — сервис для генеалогов,32.0,Распознавание ваших сканов архивных документов времён Российской империи с помощью нейросетей,Приложения Поддержать проект,Александр Ермаков,,370000.0,186090.0,50.0,0.0,67.0,2026-02-04,2026-04-12,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,62.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/azat_diva_mpr,"Азат Диваев. Новый альбом ""Министерство путей разобщения""",57.0,Поддержите выход нашего нового альбома!,Музыка Поддержать проект,Азат Диваев,,80000.0,60020.0,75.0,0.0,70.0,2026-02-12,2026-04-23,50.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,66.0,0.0,"на мне. Консультации по снаряжению. Помогу собрать рюкзак под локацию. Расскажу про одежду, как выбрать палатку и спальник под сезон, что обязательно взять, а что - лишний вес. Лот актуален с мая по сентябрь 2026. Стоимость за группу до 5 чел. Стоимость 2 000 ₽ Купили 0 Дополнительная информация В стоимость входит ведение, логистика, страховка на маршруте. Подойдет новичкам, которые хотят первый опыт в горах с проводником, опытным туристам, которым нужна компания и локальное знание мест, тем, кто едет один и хочет в команду. Подробнее в лс Примерная дата отправки 22.03.2026 Добавить в корзину Ссылка на это вознаграждение Лекция о том, как сделать свой фестиваль За моими плечами организация фестивалей разного масштаба и направлений: это и «Белая птица», и «Дай лапу», и «Прана Фест». Каждый раз затевая что-то я сталкиваюсь с вопросами вопросами: где брать людей, как уговорить резидентов выступать за идею (за бартер), как не слить бюджет на таргет. Я набил шишки и готов передать знания вам. Мы встречаемся в кафе в центре (или онлайн), что бы обсудить орг. детали. Темы: локации с высоким трафиком, аренда за бартер или guarantee, коллабы с городскими пространствами, работа с комьюнити, реклама и пиар, прогрев лидов, воронка продаж, интеграции итд итп Стоимость 2 000 ₽ Купили 0 Дополнительная информация Длительность 2 часа. Покажу цифры и кейсы, что сработало, а что нет. Дам обратную связь по вашему проекту, подсвечу непонятные места. Это не лекция в чистом виде, скорее интенсив с обратной связью. Подойдет тем, кому важен системный подход, а не хаос Примерная дата отправки 22.03.2026 Добавить в корзину Ссылка на это вознаграждение Сертификат на посещение 12-ти квартирников, концертов, фестивалей с участием Азата Сертификат на посещение 12-ти квартирников, концертов, фестивалей с участием Азата. Можно использовать в течении пяти лет. Сертификат нельзя купить в подарок. Стоимость 2 000 ₽ Купили 0 Осталось 1 Дополнительная информация Самовывоз из Уфы, возможна доставка почтой. Примерная дата отправки 19.04.2026 Добавить в корзину Ссылка на это вознаграждение Урок-ликбез по фортепиано Если вы 1.Выросли 2.Очень хотите играть на пианино, но не знате с чего начать 3.Думаете, что ваш поезд давно ушел 4.Готовы работать - смело пишите мне. Я поступил в муз.училище будучи относительно взрослым парнем, но... к большому удивлению многих я научился играть двумя руками и даже читать с листа, хотя это несколько трудно для меня до сих пор. А ключиком к игре было то, что играть надо не только руками, но еще и мозгом. Т.е: понимать природу тяготений, математику звуков, разрешения аккордов, следить за звуковедением и тд. Лот нельзя купить в подарок. Стоимость 3 000 ₽ Купили 1 Осталось 2 Дополнительная информация Длительность - 2,5-3 часа. Перед покупкой лота желательно списаться в соц.сетях. Лично, в Уфе. Примерная дата отправки 22.03.2026 Добавить в корзину Ссылка на это вознаграждение Персональный концерт по Скайпу, Зуму, Дискорду, Тимс. Примерная длительность 60-80 минут. Сэт лист могу составить я, вы, либо вместе (до 14 песен). Песни под гитару, пианино, думбыру, медитативные молитвы под аккомпанемент тибетских поющих чаш. В процессе созвона можно обсудить последние",2.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/hulk,Бастион для халков,18.0,Поможем создать безопасное пространство для самых крупных собак приюта,Благотворительность,"Благотворительный фонд ""Ключ Добра""",Краснодарский край,400000.0,275950.0,68.0,0.0,304.0,2025-07-09,2026-05-09,320.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,920.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/bezvetrie,"""Безветрие"" поэтическое кино",28.0,"Хрупкие человеческие намерения восстановить дом в деревне сталкиваются с величественным временем, которое как разрушает, так и создает. Кино, в котором я хочу дать голос прошлому.",Кино и видео,stefania.astafieva02,Ярославская обл,100000.0,82400.0,82.0,0.0,48.0,2026-04-02,2026-05-20,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/bandoneon_dlya_volodi,Владимир Розанов - петербургский бандонеонист,45.0,"Инструмент, на котором в оригинале играют танго, и которого пока нет в Петербурге, называется БАНДОНЕОН. Изготовление этого музыкального инструмента - и есть цель нашего проекта.",Музыка,Владимир Розанов,Санкт-Петербург и Ленинградская область,600000.0,306100.0,51.0,0.0,35.0,2026-03-11,2026-04-15,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,72.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/vreditel,"ВРЕДИТЕЛЬ. Новый фильм киностудии ""НОМФИЛЬМ""",44.0,"Новый полнометражный фильм киностудии ""НОМФИЛЬМ"". Картина в жанре советского нуара про шпионов и вредителей на производственную тематику в лучших традициях студии и группы НОМ.",Кино и видео,Андрей Кагадеев,Санкт-Петербург и Ленинградская область,500000.0,280050.0,56.0,0.0,98.0,2026-02-27,2026-06-05,61.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,159.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/240923,Глубинка - душа России!,23.0,Поможем детям из глубинки приобрести микрофоны для концертов.,Общественные инициативы,glubinkatotma,Вологодская обл,105000.0,77200.0,73.0,0.0,84.0,2026-02-05,2026-04-30,81.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,51.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/kpoetry_movie,Документальный фильм изнутри о казанской поэзии,47.0,"Мы поставили себе задачу снять достойный документальный фильм о казанской поэзии, чтобы было интересно и приятно смотреть не только нам. Для этого нужна ваша помощь",Кино и видео,K.P. Poetry,Татарстан,30000.0,16500.0,55.0,0.0,94.0,2026-03-04,2026-06-06,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/236853,"Издание книги Андрея Светоноса ""Свой путь""",42.0,"Мы собираем на издание 1000 экземпляров книги Андрея Светоноса ""Свой путь"". Будем рады любой поддержке!",Литература и журналистика,maximandreev1991,Новосибирская обл,150000.0,90000.0,60.0,0.0,188.0,2025-11-06,2026-05-13,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/jackskorobudetbook,Издание книги Джека «Походкой Хендрикса»,40.0,"В книгу войдут тексты песен Евгения Кондращенко, написанные для музыкальных проектов «Джек Скоро Будет» и «BorodaDovлatova», а также стихи, в том числе, неопубликованные ранее.",,Дарья Высоцкая,Мурманская обл,80000.0,55100.0,68.0,0.0,99.0,2026-01-13,2026-04-22,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,98.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/nemolchi,"Издание сборника стихов ""Время говорить""",40.0,"Книга из 30 стихотворений, которые раньше жили исключительно в Ваших телеграм-каналах",Литература и журналистика Поддержать проект,,,0.0,0.0,0.0,0.0,45.0,2026-03-31,2026-05-15,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/hram_kazanskaya,Казанская церковь: возрождение куполов (2 этап),47.0,Возрождаем старинный храм в Воскресенском Поветлужье - Казанскую церковь в с. Богородское: воссоздаём деревянные подкупольные барабаны кровли четверика (южная сторона),Архитектура и Урбанистика,Антон Волков,Нижегородская (Горьковская),220000.0,191000.0,86.0,0.0,49.0,2026-03-02,2026-04-20,44.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,363.0,0.0,,0.0,0.0,,selenium,Все категории
https://planeta.ru/campaigns/zadrot,"К/М ""ЗАДРОТ""",12.0,"18-летний Задрот - депрессивный затворник-геймер без каких-либо перспектив. Но однажды он влюбляется в сети в девушку - Луну, и чувства к ней вынуждают его начать борьбу с собой.",Кино и видео,,Москва и Московская обл,0.0,0.0,0.0,0.0,135.0,2025-12-06,2026-04-20,48.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/242026,Кровля для каменного свода Ухотской церкви,42.0,"Сбор средств на установку кровли над каменным сводом Троицкой церкви в селе Ухта (Архангельская область, Каргопольский район).",Общественные инициативы,Юрий Антонов,Архангельская обл,260000.0,149450.0,57.0,0.0,97.0,2026-02-19,2026-05-27,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,754.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/micelliy,Мицелий,7.0,"«Мицелий» — короткометражный фолк-хоррор о семье, контроле и попытке вырваться из замкнутой системы, где забота становится давлением, а привязанность — ловушкой.",Кино и видео,,Москва и Московская обл,0.0,0.0,0.0,0.0,99.0,2026-01-21,2026-04-30,15.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,,,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/222298,Народная ниндзя-теннисистка. Ева Кан: дорога к мечте.,53.0,"теннисистка 12 лет, топ-25 России, резидент шоу ""Суперниндзя-Дети"". С 7 утра каждый день на корте. Собираю на турниры в Европе, чтобы попасть на чемпионат мира U-14 в Tarbes.",Спорт,coachtf,Москва и Московская обл,638570.0,522905.0,81.0,0.0,143.0,2025-11-21,2026-04-13,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,,0.0,1.0,,selenium,Все категории
https://planeta.ru/campaigns/242835,"Научный журнал «Исторический формат», год 2026",46.0,"Журнал «Исторический формат», номера 2026 года, продолжение публикации неизданных работ выдающегося филолога и историка С.Н. Азбелева",Литература и журналистика,Редакция журнала «Исторический формат»,Санкт-Петербург и Ленинградская область,120000.0,60700.0,50.0,0.0,60.0,2026-03-01,2026-04-30,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,152.0,0.0,,0.0,0.0,,selenium,Все категории
